URL,Brand,Item Type,Size,Price,Original Price,Material,Condition,Item ID
https://www.thredup.com/product/women-polyester-igenjun-maroon-casual-dress/119707202?query_id=622956317577658368&result_id=622956318101946368,iGenJun,Casual Dress,Size XL ,$17.19,$48,"95% Polyester, 5% Spandex",This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119707202
https://www.thredup.com/product/women-rayon-old-navy-maroon-casual-dress/119593456?query_id=622956317577658368&result_id=622956318101946368,Old Navy,Casual Dress,Size XL ,$14.47,$40,"95% Rayon, 5% Spandex","This item is in excellent condition with only light signs of wear, if any.",Item #119593456
https://www.thredup.com/product/women-cotton-old-navy-black-casual-dress/119611120?query_id=622956317577658368&result_id=622956318101946368,Old Navy,Casual Dress,Size XL ,$14.63,$40,100% Cotton,This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119611120
https://www.thredup.com/product/women-rayon-old-navy-purple-casual-dress/119702461?query_id=622956317577658368&result_id=622956318101946368,Old Navy,Casual Dress,Size S ,$18.47,$40,100% Rayon,"This item is in excellent condition with only light signs of wear, if any.",Item #119702461
https://www.thredup.com/product/women-polyester-sweet-rain-black-casual-dress/119700931?query_id=622956317577658368&result_id=622956318101946368,Sweet Rain,Casual Dress,Size S ,$18.31,$68,100% Polyester,"This item is in excellent condition with only light signs of wear, if any.",Item #119700931
https://www.thredup.com/product/women-polyester-my-michelle-ivory-cocktail-dress/118769130?query_id=622956317577658368&result_id=622956318101946368,My Michelle,Cocktail Dress,Size S ,$17.59,$60,100% Polyester,"This item is in excellent condition with only light signs of wear, if any.",Item #118769130
https://www.thredup.com/product/women-cotton-jcrew-blue-casual-dress/119523009?query_id=622956317577658368&result_id=622956318101946368,J.Crew,Casual Dress,Size 6 ,$27.11,$118,100% Cotton,"This item is in excellent condition with only light signs of wear, if any.",Item #119523009
https://www.thredup.com/product/women-rayon-express-purple-casual-dress/119531430?query_id=622956317577658368&result_id=622956318101946368,Express,Casual Dress,Size S ,$11.99,$54,"96% Rayon, 4% Spandex","This item is in excellent condition with only light signs of wear, if any.",Item #119531430
https://www.thredup.com/product/women-spandex-calvin-klein-blue-casual-dress/119688806?query_id=622956317577658368&result_id=622956318101946368,Calvin Klein,Casual Dress,Size 10 ,$39.19,$139,"5% Spandex, 95% Rayon",This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119688806
https://www.thredup.com/product/women-silk-wilfred-black-casual-dress/119736453?query_id=622956317577658368&result_id=622956318101946368,Wilfred,Casual Dress,Size 2 ,$20.47,$143,100% Silk,This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119736453
https://www.thredup.com/product/women-viscose-astr-the-label-maroon-casual-dress/119841472?query_id=622956317577658368&result_id=622956318101946368,ASTR The Label,Casual Dress,Size S ,$23.03,$95,100% Viscose,"This item is in excellent condition with only light signs of wear, if any.",Item #119841472
https://www.thredup.com/product/women-cotton-assorted-brands-black-casual-dress/119153915?query_id=622956317577658368&result_id=622956318101946368,Assorted Brands,Casual Dress,Size Sm - Med ,$14.47,$48,"60% Cotton, 30% Nylon, 10% Merino Wool",This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119153915
https://www.thredup.com/product/women-polyester-express-white-jumpsuit/119578248?query_id=622956317577658368&result_id=622956318101946368,Express,Jumpsuit,Size S ,$22.23,$85,"95% Polyester, 5% Spandex","This item is in excellent condition with only light signs of wear, if any.",Item #119578248
https://www.thredup.com/product/women-assorted-brands-maroon-casual-dress/119564473?query_id=622956317577658368&result_id=622956318101946368,Assorted Brands,Casual Dress,Size S ,$14.95,$48,Material unknown,This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119564473
https://www.thredup.com/product/women-polyester-closet-pink-casual-dress/119607395?query_id=622956317577658368&result_id=622956318101946368,Closet,Casual Dress,Size 8 ,$12.71,$60,"97% Polyester, 3% Spandex","This item is in excellent condition with only light signs of wear, if any.",Item #119607395
https://www.thredup.com/product/women-viscose-cline-pink-casual-dress/119150874?query_id=622956317577658368&result_id=622956318101946368,Céline,Casual Dress,Size 36 (FR) ,,$1015,"96% Viscose, 4% Elastane",This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119150874
https://www.thredup.com/product/women-polyester-japna-maroon-casual-dress/119620544?query_id=622956317577658368&result_id=622956318101946368,Japna,Casual Dress,Size XS ,$9.27,$24,100% Polyester,"This item is in excellent condition with only light signs of wear, if any.",Item #119620544
https://www.thredup.com/product/women-cotton-free-people-black-casual-dress/119736699?query_id=622956317577658368&result_id=622956318101946368,Free People,Casual Dress,Size S ,$29.67,$128,"80% Cotton, 15% Nylon, 5% Spandex","This item is in excellent condition with only light signs of wear, if any.",Item #119736699
https://www.thredup.com/product/women-polyester-unbranded-tan-casual-dress/119736063?query_id=622956317577658368&result_id=622956318101946368,Unbranded,Casual Dress,Size M ,$16.95,$48,"90% Polyester, 10% Spandex",This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119736063
https://www.thredup.com/product/women-liva-girl-green-casual-dress/119602488?query_id=622956317577658368&result_id=622956318101946368,Liva Girl,Casual Dress,Size S ,$19.75,$48,Material unknown,This item is in good condition with minor signs of wear: minor stain.,Item #119602488
https://www.thredup.com/product/women-spandex-ronni-nicole-black-casual-dress/119706814?query_id=622956317577658368&result_id=622956318101946368,Ronni Nicole,Casual Dress,Size 12 ,$17.11,$48,"3% Spandex, 97% Polyester","This item is in excellent condition with only light signs of wear, if any.",Item #119706814
https://www.thredup.com/product/women-cotton-old-navy-pink-casual-dress/119552939?query_id=622956317577658368&result_id=622956318101946368,Old Navy,Casual Dress,Size XL ,$11.99,$40,100% Cotton,"This item is in excellent condition with only light signs of wear, if any.",Item #119552939
https://www.thredup.com/product/women-polyester-unbranded-tan-casual-dress/119581493?query_id=622956317577658368&result_id=622956318101946368,Unbranded,Casual Dress,Size XL ,$12.95,$48,"95% Polyester, 5% Spandex","This item is in excellent condition with only light signs of wear, if any.",Item #119581493
https://www.thredup.com/product/women-rayon-old-navy-black-casual-dress/119724188?query_id=622956317577658368&result_id=622956318101946368,Old Navy,Casual Dress,Size S ,$13.27,$40,100% Rayon,"This item is in excellent condition with only light signs of wear, if any.",Item #119724188
https://www.thredup.com/product/women-polyester-forever-21-white-casual-dress/119592734?query_id=622956317577658368&result_id=622956318101946368,Forever 21,Casual Dress,Size M ,$10.79,$25,"96% Polyester, 4% Spandex","This item is in excellent condition with only light signs of wear, if any.",Item #119592734
https://www.thredup.com/product/women-polyester-long-paige-black-cocktail-dress/119619905?query_id=622956317577658368&result_id=622956318101946368,Long Paige,Cocktail Dress,Size 8 ,$22.39,$119,100% Polyester,This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119619905
https://www.thredup.com/product/women-polyester-unbranded-blue-casual-dress/119763220?query_id=622956317577658368&result_id=622956318101946368,Unbranded,Casual Dress,Size XL ,$10.95,$48,100% Polyester,"This item is in excellent condition with only light signs of wear, if any.",Item #119763220
